Location:, Aberporth,
year,month,max temperature (degC),min temperature (degC),af (days),rain (mm),sun (hours)
1960,1,7.9,3.4,4,131,58.7
1960,2,7.1,2.3,5,112.5,75.5
1960,3,10,4.2,0,58.3,110.8
1960,4,10.9,5.6,0,92.1,187.7
1960,5,15.5,9.2,0,46.9,199.2
1960,6,18,11.6,0,43.4,245.7
1960,7,17,11.9,0,89.4,165
1960,8,17,12,0,98.5,169.9
1960,9,15.7,10.6,0,138.4,135.2
1960,10,13,8.4,0,150.8,73.9
1960,11,10.3,5.8,0,204.7,49.3
1960,12,7.3,2.8,6,126.1,66.7
1961,1,7.2,2.3,7,117.5,37.5
1961,2,9.5,5.6,0,72.2,51.9
1961,3,11,5.7,0,14.6,118.3
1961,4,12.4,6.7,0,120.1,123.1
1961,5,13.8,7.7,0,40,244.5
1961,6,16.7,10.2,0,33.2,230.3
1961,7,16.9,11.6,0,50.3,185.8
1961,8,17.6,12.1,0,100.1,170.2
1961,9,17.7,11.9,0,112.9,136.6
1961,10,13.4,8.5,0,173.8,83.3
1961,11,9.5,5.1,0,63.5,59.6
1961,12,6.5,1.7,15,73.2,87.8
1962,1,7.8,2.8,4,113.3,59.5
1962,2,7.4,3.2,5,28.9,58.3
1962,3,6.4,0.5,14,37.6,140.2
1962,4,10.3,4.4,1,73.4,182.6
1962,5,12.1,7.3,0,52.3,176
1962,6,16,9.3,0,39,242.2
1962,7,17,11.4,0,53.8,149
1962,8,16.2,11.5,0,96.5,153.7
1962,9,15,10.4,0,130.8,102.1
1962,10,13.9,8.2,0,44,126.5
1962,11,8.9,4.6,0,72.3,43.9
1962,12,6.4,1.8,9,69.2,64.3
1963,1,1.3,-3.5,26,17.3,98.5
1963,2,3.3,-1.9,22,27.1,100.5
1963,3,8.9,3.9,2,109.9,106.4
1963,4,10.9,5.4,0,87.6,134.2
1963,5,12.6,7.1,0,52.8,183.5
1963,6,16.9,10.7,0,85.3,195.6
1963,7,17.3,11.4,0,36.3,153.1
1963,8,16.3,11.5,0,62.9,124.5
1963,9,15.8,10.3,0,50.3,133.7
